Date,Open,High,Low,Close,Adj Close,Volume
2008-05-30,236.250000,247.250000,233.125000,245.350006,176.508560,27614928
2008-06-02,247.500000,253.750000,242.562500,243.850006,175.429459,16651424
2008-06-03,240.625000,243.774994,235.125000,240.281250,172.862045,15588320
2008-06-04,240.000000,240.000000,231.637497,233.837494,168.226318,12818832
2008-06-05,235.962494,248.375000,233.750000,247.443756,178.014832,19144816
2008-06-06,250.000000,255.812500,247.574997,249.193756,179.273834,14816264
2008-06-09,242.631256,246.250000,235.831253,237.687500,170.996033,14026352
2008-06-10,236.250000,240.000000,224.562500,231.756256,166.728989,23390272
2008-06-11,235.625000,238.000000,232.774994,236.606247,170.218170,9619728
2008-06-12,229.512497,235.750000,228.887497,234.362503,168.604019,12400424
2008-06-13,236.375000,239.362503,231.893753,233.331253,167.862106,10279888
2008-06-16,236.987503,242.500000,235.000000,238.475006,171.562622,12636592
2008-06-17,243.750000,243.750000,235.493744,238.943756,171.899826,10754704
2008-06-18,239.750000,240.593750,231.750000,232.806244,167.484390,10401800
2008-06-19,231.750000,235.212494,229.568756,232.800003,167.479889,6695264
2008-06-20,233.125000,235.687500,227.000000,228.375000,164.296494,11694864
2008-06-23,226.949997,233.350006,225.137497,230.725006,165.987106,9632840
2008-06-24,230.725006,232.500000,220.625000,224.306244,161.369385,10872056
2008-06-25,223.750000,223.750000,212.649994,218.343750,157.079910,22294144
2008-06-26,217.512497,225.000000,217.512497,223.137497,160.528564,17161832
2008-06-27,217.518753,220.625000,211.875000,213.181244,153.365829,11410480
2008-06-30,214.375000,218.600006,213.750000,217.100006,156.185089,11685696
2008-07-01,218.000000,221.125000,213.131256,214.625000,154.404556,12359840
2008-07-02,215.625000,230.500000,215.250000,227.574997,163.720963,14378920
2008-07-03,225.156250,225.156250,216.500000,217.881256,156.747147,12169160
2008-07-04,218.500000,223.625000,216.418747,219.475006,157.893692,9633904
2008-07-07,222.500000,228.125000,221.875000,224.975006,161.850525,8322808
2008-07-08,222.125000,222.125000,213.962494,217.074997,156.167053,12996936
2008-07-09,219.500000,229.000000,219.000000,227.737503,163.837845,15005024
2008-07-10,235.625000,235.625000,222.500000,225.656250,162.340591,15071872
2008-07-11,230.625000,234.331253,205.187500,209.606247,150.793961,52769872
2008-07-14,207.531250,208.750000,192.787506,194.443756,139.885818,29510328
2008-07-15,191.875000,197.375000,187.875000,193.081253,138.905655,25855776
2008-07-16,195.149994,197.125000,191.000000,193.449997,139.170853,12527008
2008-07-17,197.500000,200.975006,195.637497,197.787506,142.291397,13024680
2008-07-18,198.125000,199.875000,187.875000,193.425003,139.152939,17338848
2008-07-21,191.750000,197.962494,190.637497,195.162506,140.402893,10304048
2008-07-22,194.862503,199.781250,193.274994,197.287506,141.931641,9302648
2008-07-23,200.000000,206.262497,194.418747,200.281250,144.085434,16016456
2008-07-24,202.625000,202.625000,185.631256,195.912506,140.942520,22910080
2008-07-25,190.625000,197.750000,184.393753,193.831253,139.445190,10614584
2008-07-28,194.162506,199.500000,190.750000,192.431244,138.438019,10468480
2008-07-29,191.225006,193.237503,188.487503,192.587494,138.550430,8414120
2008-07-30,195.012497,201.218750,194.250000,200.256256,144.067413,14986328
2008-07-31,201.000000,201.500000,195.043747,197.931244,142.394791,19956728
2008-08-01,195.000000,205.812500,193.125000,204.931244,147.430695,10149664
2008-08-04,204.750000,210.493744,203.000000,207.356247,149.175278,9726304
2008-08-05,207.356247,211.943756,202.262497,209.818756,150.946823,14116240
2008-08-06,212.875000,215.625000,205.962494,212.418747,152.817337,26720328
2008-08-07,212.875000,216.750000,210.250000,215.768753,155.227371,7737432
2008-08-08,208.168747,214.968750,208.168747,209.949997,151.041245,9523408
2008-08-11,211.875000,214.625000,207.074997,208.800003,150.213943,13456128
2008-08-12,206.881256,212.100006,198.199997,200.487503,144.233765,26516792
2008-08-13,199.925003,204.250000,198.399994,203.243744,146.216660,13614136
2008-08-14,205.000000,213.050003,202.375000,211.687500,152.291275,16376056
2008-08-18,212.625000,217.125000,211.893753,213.043747,153.266968,9670840
2008-08-19,213.875000,214.337494,210.418747,211.593750,152.223801,6709328
2008-08-20,210.031250,213.712494,210.031250,212.412506,152.812820,4518864
2008-08-21,212.500000,212.875000,206.587494,207.681244,149.409088,4685448
2008-08-22,207.487503,212.837494,205.774994,212.062500,152.561020,8749992
2008-08-25,217.500000,218.125000,212.625000,213.306244,153.455765,2461128
2008-08-26,215.012497,217.481247,211.250000,212.250000,152.695938,18578752
2008-08-27,212.750000,214.875000,212.062500,213.524994,153.613159,10978448
2008-08-28,214.125000,214.625000,212.000000,212.425003,152.821854,11480800
2008-08-29,213.625000,218.750000,213.625000,218.637497,157.291199,9186688
2008-09-01,218.750000,220.837494,212.737503,215.412506,154.971069,11153904
2008-09-02,218.625000,222.750000,215.168747,221.906250,159.642731,8403728
2008-09-04,220.137497,225.625000,218.949997,223.625000,160.879288,21589384
2008-09-05,222.493744,222.493744,213.312500,214.037506,153.981873,11020920
2008-09-08,219.125000,220.250000,216.918747,218.756256,157.376602,9518400
2008-09-09,218.481247,219.750000,214.649994,218.681244,157.322708,9329816
2008-09-10,217.406250,221.531250,215.149994,219.968750,158.248901,10927472
2008-09-11,218.531250,220.000000,216.543747,218.831253,157.430573,13265864
2008-09-12,219.125000,219.125000,204.656250,205.500000,147.839874,24315128
2008-09-15,205.000000,205.000000,190.250000,197.268753,141.918167,17211760
2008-09-16,191.256256,198.250000,188.750000,195.800003,140.861542,15700792
2008-09-17,197.500000,205.868744,196.250000,197.375000,141.994614,18332656
2008-09-18,188.762497,195.000000,177.656250,190.675003,137.174545,26780192
2008-09-19,196.875000,205.737503,194.500000,203.118744,146.126770,31199944
2008-09-22,205.625000,207.543747,201.000000,203.737503,146.571930,12823792
2008-09-23,200.000000,203.000000,192.012497,192.993744,138.842667,13378256
2008-09-24,193.750000,195.975006,186.250000,190.537506,137.075607,19385704
2008-09-25,191.256256,191.256256,186.381256,188.356247,135.506393,18414264
2008-09-26,187.750000,188.356247,179.506256,180.862503,130.115234,9755960
2008-09-29,180.637497,181.500000,170.750000,174.162506,125.295189,17209792
2008-09-30,171.250000,181.712494,165.000000,174.756256,125.722359,23483064
2008-10-01,178.125000,183.375000,176.875000,181.162506,130.331085,26368016
2008-10-03,179.125000,180.000000,172.500000,173.987503,125.169304,13768264
2008-10-06,170.000000,173.750000,159.375000,164.831253,118.582161,12918216
2008-10-07,167.018753,171.625000,158.268753,162.725006,117.066864,18535736
2008-10-08,162.500000,162.500000,149.031250,156.781250,112.790855,22855192
2008-10-10,150.000000,160.000000,130.000000,153.149994,110.178474,37255704
2008-10-13,156.250000,170.000000,152.500000,164.818756,118.573174,19877088
2008-10-14,173.125000,176.437500,168.750000,174.743744,125.713318,15414536
2008-10-15,172.500000,172.500000,163.625000,166.925003,120.088440,12564520
2008-10-16,162.500000,162.500000,150.399994,157.875000,114.434639,13400072
2008-10-17,159.381256,163.625000,148.781250,150.343750,108.975677,12160624
2008-10-20,155.000000,163.868744,152.625000,161.818756,117.293274,11699384
2008-10-21,165.000000,174.250000,162.875000,168.449997,122.099854,18240528
2008-10-22,165.250000,166.162506,160.318756,162.443756,117.746284,15020952
2008-10-23,159.875000,169.800003,154.456253,160.406250,116.269379,20359160
2008-10-24,156.162506,162.500000,150.000000,155.762497,112.903389,18683728
2008-10-27,153.750000,161.250000,145.000000,156.475006,113.419830,20009112
2008-10-29,165.668747,168.750000,160.000000,163.043747,118.181190,24898056
2008-10-31,166.868744,179.987503,166.868744,173.618744,125.846390,31084944
2008-11-03,175.137497,180.875000,168.812500,172.324997,124.908592,18262272
2008-11-04,168.750000,172.243744,160.625000,166.487503,120.677353,22243704
2008-11-05,168.625000,174.375000,162.887497,165.250000,119.780304,17302080
